itemId,itemNm,brandNm,displayPrc,strikeOutPrc,siteNm,salestrNm,itemLnkd,itemImgUrl,itemOrdQty,itemOrdQtyTxt,page
1000811962740,[큐라에스] 인기 건강기능식품 ~50%,,44950,,,emart NE.O.004,https://www.ssg.com/item/dealItemView.ssg?itemId=1000811962740&siteNo=7009&salestrNo=2551,https://sitem.ssgcdn.com/40/27/96/item/1000811962740_i1_500.jpg,0,주목할만한 상품,6
1000758513764,26SS 신상 + 이월SS 상품 특가전,지고트,67500,,신세계백화점,본점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000758513764&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/64/37/51/item/1000758513764_i1_500.jpg,73,주목할만한 상품,7
1000813303763,[공식몰](소비기한 2026.08.01)하리보 골드베렌 믹스 870g x 3개,,28690,29900,,S.COM몰,https://www.ssg.com/item/itemView.ssg?itemId=1000813303763&siteNo=6001&salestrNo=6005,https://sitem.ssgcdn.com/63/37/30/item/1000813303763_i1_500.jpg,0,주목할만한 상품,7
1000045092292,SFS LX 리제너레이팅 크림소프트 SSG 단독 선론칭,시세이도,374000,,신세계백화점,본점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000045092292&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/92/22/09/item/1000045092292_i1_500.jpg,17,주목할만한 상품,7
1000816497743,물걸레 청소포 1+1 40% 할인,에파타클린업,9672,,,emart NE.O.004,https://www.ssg.com/item/dealItemView.ssg?itemId=1000816497743&siteNo=7009&salestrNo=2551,https://sitem.ssgcdn.com/43/77/49/item/1000816497743_i1_500.jpg,555,주목할만한 상품,7
1000563219668,SS 가방/의류/모자 최대 55% + 추가 쿠폰,캉골,41310,,신세계백화점,본점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000563219668&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/68/96/21/item/1000563219668_i1_500.jpg,0,주목할만한 상품,7
1000039936164,30년 맛집 하누소 갈비탕 외 갈비찜 곰탕 뼈없는갈비탕 보양식 모음,하누소,43100,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000039936164&siteNo=6001&salestrNo=6005,https://sitem.ssgcdn.com/64/61/93/item/1000039936164_i1_500.jpg,45,주목할만한 상품,7
1000036111075,[이고진 공식]스텝퍼/사이클/런닝머신 홈트 BEST 운동기구 특가 모음전,이고진,257800,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000036111075&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/75/10/11/item/1000036111075_i1_500.jpg,0,주목할만한 상품,7
1000740016886,일리/맥심/스타벅스/드립핑크 커피 ~25% 할인,,29800,,이마트,월계점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000740016886&siteNo=6001&salestrNo=2037,https://sitem.ssgcdn.com/86/68/01/item/1000740016886_i1_500.jpg,29876,주목할만한 상품,7
1000058781870,NEW 더블웨어 파운데이션 & 최대 혜택,에스티로더,149400,,신세계백화점,본점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000058781870&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/70/18/78/item/1000058781870_i1_500.jpg,37,주목할만한 상품,7
